Exception 
         479298 function calls (455231 primitive calls) in 1.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       16    0.000    0.000    0.000    0.000 _state.py:275(process_event)
       42    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        3    0.000    0.000    0.091    0.030 socket.py:946(getaddrinfo)
       24    0.000    0.000    0.000    0.000 _headers.py:209(get_comma_header)
        2    0.000    0.000    0.016    0.008 _sockets.py:1(<module>)
      114    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
      211    0.000    0.000    0.000    0.000 filter.py:725(match)
      185    0.000    0.000    0.003    0.000 _parser.py:98(closegroup)
       37    0.000    0.000    0.000    0.000 _readers.py:64(_decode_header_lines)
        3    0.000    0.000    0.001    0.000 cookiejar.py:1680(extract_cookies)
        3    0.000    0.000    0.002    0.001 _models.py:383(__init__)
        1    0.000    0.000    1.174    1.174 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1135(_BaseV4)
        3    0.000    0.000    0.000    0.000 _connection.py:167(__init__)
        8    0.000    0.000    0.000    0.000 _models.py:1084(__init__)
       87    0.000    0.000    0.000    0.000 __init__.py:789(popTag)
        2    0.000    0.000    0.002    0.001 _client.py:475(_build_redirect_request)
        3    0.000    0.000    0.001    0.000 _client.py:156(close)
      399    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       45    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
       10    0.000    0.000    0.001    0.000 _connection.py:410(_extract_next_receive_event)
       29    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       19    0.000    0.000    0.000    0.000 _connection.py:342(_respond_to_state_changes)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
    44/32    0.000    0.000    0.005    0.000 css_parser.py:579(parse_pseudo_class)
        3    0.000    0.000    0.000    0.000 http11.py:152(_send_request_body)
      204    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
        4    0.000    0.000    0.001    0.000 _models.py:935(iter_raw)
      219    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
        3    0.000    0.000    0.000    0.000 http11.py:47(__init__)
    43/15    0.000    0.000    0.082    0.005 {built-in method builtins.__import__}
